statusId | label
29|Sit
30|Sit (phone)
31|Walk
32|Walk (phone)
statusId|sensorName|value|timestamp
29|AK09918C|[-0.59999084,-29.87999,-11.699997]|1689110347128
29|AK09918C|[-1.019989,-29.759995,-11.459991]|1689110347148
29|AK09918C|[-1.1399994,-29.279999,-11.459991]|1689110347168
29|AK09918C|[-1.4399872,-29.519989,-11.459991]|1689110347188
29|AK09918C|[-1.5599976,-29.699997,-11.819992]|1689110347208
29|AK09918C|[-1.5599976,-29.399994,-11.87999]|1689110347228
29|AK09918C|[-1.3199921,-29.159988,-11.699997]|1689110347248
29|AK09918C|[-0.83999634,-28.799988,-11.7599945]|1689110347268
29|AK09918C|[-0.83999634,-28.619995,-11.339996]|1689110347288
29|AK09918C|[-0.59999084,-28.259995,-11.279999]|1689110347308
29|AK09918C|[-0.6599884,-28.439987,-11.7599945]|1689110347328
29|AK09918C|[-0.71998596,-28.559998,-11.579987]|1689110347347
29|AK09918C|[-0.6599884,-29.279999,-11.699997]|1689110347367
29|AK09918C|[-0.71998596,-30.0,-11.579987]|1689110347388
29|AK09918C|[-0.17999268,-29.939987,-11.459991]|1689110347408
29|AK09918C|[-0.11999512,-29.64,-11.639999]|1689110347428
29|AK09918C|[-0.11999512,-29.339996,-11.7599945]|1689110347448
29|AK09918C|[0.17999268,-29.339996,-12.059998]|1689110347468
29|AK09918C|[-0.2999878,-29.579987,-11.87999]|1689110347488
29|AK09918C|[-0.41999817,-29.87999,-11.939987]|1689110347508
29|AK09918C|[-0.35998535,-29.87999,-11.159988]|1689110347528
29|AK09918C|[-0.35998535,-29.819992,-10.73999]|1689110347548
29|AK09918C|[0.11999512,-30.119995,-10.859985]|1689110347568
29|AK09918C|[-0.23999023,-30.23999,-10.799988]|1689110347588
29|AK09918C|[-0.41999817,-30.119995,-11.459991]|1689110347608
29|AK09918C|[-0.47999573,-30.059998,-11.87999]|1689110347628
29|AK09918C|[-0.59999084,-29.279999,-11.279999]|1689110347648
29|AK09918C|[-0.17999268,-29.279999,-11.519989]|1689110347667
29|AK09918C|[-0.05999756,-29.819992,-11.819992]|1689110347687
29|AK09918C|[-0.35998535,-29.579987,-11.7599945]|1689110347707
29|AK09918C|[-0.2999878,-29.87999,-12.23999]|1689110347727
29|AK09918C|[-0.17999268,-29.87999,-12.059998]|1689110347748
29|AK09918C|[-0.05999756,-29.459991,-11.639999]|1689110347768
29|AK09918C|[0.05999756,-29.519989,-11.399994]|1689110347788
29|AK09918C|[-0.23999023,-29.87999,-11.219986]|1689110347808
29|AK09918C|[-0.35998535,-29.519989,-11.699997]|1689110347828
29|AK09918C|[-0.7799988,-29.399994,-12.059998]|1689110347848
29|AK09918C|[-0.6599884,-29.339996,-12.359985]|1689110347868
29|AK09918C|[-0.8999939,-28.859985,-12.479996]|1689110347888
29|AK09918C|[-0.71998596,-28.73999,-11.87999]|1689110347908
29|AK09918C|[-0.11999512,-28.919998,-11.699997]|1689110347928
29|AK09918C|[0.23999023,-28.799988,-11.7599945]|1689110347948
29|AK09918C|[0.6599884,-28.979996,-12.059998]|1689110347968
29|AK09918C|[0.71998596,-29.339996,-12.359985]|1689110347988
29|AK09918C|[-0.05999756,-29.399994,-12.419998]|1689110348008
29|AK09918C|[-0.35998535,-29.459991,-12.479996]|1689110348028
29|AK09918C|[-0.6599884,-29.579987,-12.059998]|1689110348048
29|AK09918C|[-0.71998596,-29.399994,-11.7599945]|1689110348067
29|AK09918C|[-0.23999023,-29.339996,-12.119995]|1689110348088
29|AK09918C|[-0.11999512,-29.159988,-11.819992]|1689110348108
29|AK09918C|[-0.17999268,-29.09999,-11.819992]|1689110348128
29|AK09918C|[0.05999756,-28.859985,-11.939987]|1689110348148
29|AK09918C|[-0.05999756,-28.559998,-11.579987]|1689110348168
29|AK09918C|[-0.11999512,-28.979996,-11.579987]|1689110348188
29|AK09918C|[0.05999756,-29.09999,-11.519989]|1689110348208
29|AK09918C|[0.47999573,-29.519989,-11.639999]|1689110348228
29|AK09918C|[1.1399994,-29.759995,-11.579987]|1689110348248
29|AK09918C|[1.5,-29.579987,-11.579987]|1689110348268
29|AK09918C|[1.2599945,-29.759995,-11.939987]|1689110348288
29|AK09918C|[0.41999817,-29.279999,-12.059998]|1689110348308
29|AK09918C|[-0.5399933,-29.399994,-11.939987]|1689110348328
29|AK09918C|[-1.3799896,-29.699997,-12.23999]|1689110348348
29|AK09918C|[-1.0799866,-29.819992,-12.059998]|1689110348368
29|AK09918C|[-0.83999634,-30.299988,-12.059998]|1689110348388
29|AK09918C|[-0.5399933,-30.23999,-12.539993]|1689110348407
29|AK09918C|[-0.17999268,-30.23999,-11.939987]|1689110348427
29|AK09918C|[-0.05999756,-29.939987,-11.819992]|1689110348448
29|AK09918C|[-0.23999023,-29.519989,-11.939987]|1689110348468
29|AK09918C|[-0.23999023,-29.519989,-11.579987]|1689110348488
29|AK09918C|[-0.47999573,-29.219986,-12.179993]|1689110348508
29|AK09918C|[-0.59999084,-29.09999,-12.299988]|1689110348528
29|AK09918C|[-0.83999634,-29.279999,-12.059998]|1689110348548
29|AK09918C|[-0.59999084,-29.399994,-12.059998]|1689110348568
29|AK09918C|[-0.59999084,-29.459991,-11.939987]|1689110348588
29|AK09918C|[-1.019989,-29.459991,-11.87999]|1689110348608
29|AK09918C|[-0.5399933,-29.759995,-11.87999]|1689110348628
29|AK09918C|[-0.59999084,-29.399994,-11.819992]|1689110348648
29|AK09918C|[-0.05999756,-29.399994,-11.459991]|1689110348668
29|AK09918C|[0.59999084,-29.759995,-11.399994]|1689110348688
29|AK09918C|[0.35998535,-29.939987,-10.979996]|1689110348708
29|AK09918C|[0.35998535,-30.0,-10.979996]|1689110348727
29|AK09918C|[0.0,-30.23999,-11.219986]|1689110348747
29|AK09918C|[-0.23999023,-30.179993,-11.459991]|1689110348768
