statusId | label
21|Sit
22|Sit (phone)
23|Walk
24|Walk (phone)
statusId|sensorName|value|timestamp
21|AK09918C|[1.3799896,-2.1599884,-22.559998]|1689110105120
21|AK09918C|[-1.3799896,-4.319992,-21.959991]|1689110105139
21|AK09918C|[-4.199997,-6.899994,-21.539993]|1689110105159
21|AK09918C|[-7.5599976,-9.599991,-21.23999]|1689110105179
21|AK09918C|[-7.799988,-9.059998,-21.059998]|1689110105200
21|AK09918C|[-7.9799957,-8.639999,-21.23999]|1689110105220
21|AK09918C|[-7.73999,-8.519989,-20.939987]|1689110105240
21|AK09918C|[-7.439987,-8.219986,-20.819992]|1689110105260
21|AK09918C|[-7.439987,-8.7599945,-20.939987]|1689110105280
21|AK09918C|[-7.439987,-9.23999,-20.64]|1689110105300
21|AK09918C|[-7.619995,-9.179993,-21.0]|1689110105320
21|AK09918C|[-7.5599976,-9.059998,-20.759995]|1689110105340
21|AK09918C|[-8.039993,-8.87999,-20.579987]|1689110105359
21|AK09918C|[-8.159988,-8.639999,-20.519989]|1689110105379
21|AK09918C|[-8.279999,-9.23999,-20.339996]|1689110105399
21|AK09918C|[-8.159988,-9.779999,-21.119995]|1689110105419
21|AK09918C|[-7.799988,-10.319992,-21.359985]|1689110105440
21|AK09918C|[-7.5599976,-10.439987,-21.899994]|1689110105460
21|AK09918C|[-6.719986,-9.839996,-22.259995]|1689110105480
21|AK09918C|[-5.7599945,-9.23999,-22.199997]|1689110105500
21|AK09918C|[-5.279999,-8.279999,-22.619995]|1689110105520
21|AK09918C|[-5.0399933,-7.5599976,-22.439987]|1689110105540
21|AK09918C|[-5.1599884,-7.0799866,-22.199997]|1689110105560
21|AK09918C|[-5.519989,-6.5399933,-22.319992]|1689110105580
21|AK09918C|[-5.6399994,-6.23999,-22.559998]|1689110105599
21|AK09918C|[-5.5799866,-6.1799927,-22.979996]|1689110105619
21|AK09918C|[-5.8799896,-5.5799866,-23.519989]|1689110105639
21|AK09918C|[-5.519989,-5.0399933,-23.579987]|1689110105659
21|AK09918C|[-5.4599915,-4.919998,-24.179993]|1689110105679
21|AK09918C|[-5.4599915,-4.439987,-24.23999]|1689110105700
21|AK09918C|[-5.1599884,-4.3799896,-24.539993]|1689110105720
21|AK09918C|[-5.519989,-4.0799866,-24.59999]|1689110105740
21|AK09918C|[-5.7599945,-3.5999908,-24.479996]|1689110105760
21|AK09918C|[-5.819992,-3.0,-24.59999]|1689110105780
21|AK09918C|[-5.1599884,-3.0599976,-24.059998]|1689110105800
21|AK09918C|[-5.1599884,-3.3599854,-24.059998]|1689110105820
21|AK09918C|[-4.619995,-2.8799896,-24.059998]|1689110105840
