statusId | label
9|Sit
10|Sit (phone)
11|Walk
12|Walk (phone)
statusId|sensorName|value|timestamp
9|AK09918C|[-13.319992,-36.36,28.019989]|1689109218903
9|AK09918C|[-16.319992,-45.479996,27.479996]|1689109218923
9|AK09918C|[-18.479996,-54.0,28.679993]|1689109218942
9|AK09918C|[-20.819992,-62.399994,30.119995]|1689109218963
9|AK09918C|[-21.0,-62.579987,29.87999]|1689109218983
9|AK09918C|[-20.579987,-62.28,29.519989]|1689109219003
9|AK09918C|[-20.64,-62.039993,29.87999]|1689109219023
9|AK09918C|[-21.479996,-61.859985,29.64]|1689109219043
9|AK09918C|[-21.719986,-61.439987,29.09999]|1689109219063
9|AK09918C|[-22.259995,-61.14,29.279999]|1689109219083
9|AK09918C|[-22.619995,-60.539993,28.679993]|1689109219103
9|AK09918C|[-22.859985,-60.479996,28.37999]|1689109219123
9|AK09918C|[-23.759995,-60.539993,28.319992]|1689109219143
9|AK09918C|[-24.179993,-60.539993,27.899994]|1689109219163
9|AK09918C|[-24.23999,-60.539993,27.659988]|1689109219183
9|AK09918C|[-24.119995,-60.0,27.59999]|1689109219203
9|AK09918C|[-23.759995,-59.51999,27.419998]|1689109219223
9|AK09918C|[-24.299988,-58.859985,27.23999]|1689109219243
9|AK09918C|[-23.939987,-58.679993,27.299988]|1689109219263
9|AK09918C|[-24.119995,-58.979996,27.539993]|1689109219283
9|AK09918C|[-23.579987,-58.799988,27.359985]|1689109219303
9|AK09918C|[-22.919998,-59.219986,27.23999]|1689109219323
9|AK09918C|[-22.919998,-59.579987,27.0]|1689109219343
9|AK09918C|[-21.899994,-59.09999,26.459991]|1689109219363
9|AK09918C|[-21.719986,-59.64,26.459991]|1689109219383
9|AK09918C|[-21.179993,-59.759995,26.519989]|1689109219403
9|AK09918C|[-21.23999,-59.45999,26.219986]|1689109219423
9|AK09918C|[-21.539993,-59.45999,26.159988]|1689109219443
9|AK09918C|[-21.899994,-58.859985,25.919998]|1689109219463
9|AK09918C|[-22.14,-58.439987,25.439987]|1689109219483
9|AK09918C|[-21.659988,-57.839996,25.259995]|1689109219502
9|AK09918C|[-21.59999,-57.0,24.779999]|1689109219523
9|AK09918C|[-21.479996,-56.45999,24.659988]|1689109219543
9|AK09918C|[-21.59999,-55.5,24.779999]|1689109219563
9|AK09918C|[-21.839996,-55.079987,24.359985]|1689109219583
9|AK09918C|[-22.14,-55.199997,24.479996]|1689109219603
9|AK09918C|[-22.14,-55.01999,24.419998]|1689109219623
9|AK09918C|[-22.019989,-55.01999,24.0]|1689109219643
9|AK09918C|[-22.439987,-54.839996,24.0]|1689109219663
9|AK09918C|[-22.37999,-54.65999,23.579987]|1689109219683
9|AK09918C|[-22.679993,-54.42,23.159988]|1689109219702
9|AK09918C|[-22.919998,-53.45999,23.039993]|1689109219723
9|AK09918C|[-22.73999,-52.979996,22.73999]|1689109219743
9|AK09918C|[-23.039993,-52.199997,22.5]|1689109219763
9|AK09918C|[-23.039993,-51.42,22.5]|1689109219783
9|AK09918C|[-23.09999,-51.479996,22.259995]|1689109219803
9|AK09918C|[-22.919998,-51.299988,22.679993]|1689109219823
9|AK09918C|[-22.14,-50.87999,22.799988]|1689109219843
9|AK09918C|[-22.019989,-50.45999,22.559998]|1689109219863
9|AK09918C|[-22.079987,-49.92,23.159988]|1689109219883
9|AK09918C|[-22.619995,-49.439987,22.979996]|1689109219902
9|AK09918C|[-23.519989,-49.199997,22.679993]|1689109219923
9|AK09918C|[-23.579987,-49.319992,22.619995]|1689109219943
9|AK09918C|[-23.64,-49.5,22.37999]|1689109219963
9|AK09918C|[-23.759995,-50.039993,22.259995]|1689109219983
9|AK09918C|[-23.399994,-50.15999,22.679993]|1689109220003
9|AK09918C|[-23.699997,-49.92,23.09999]|1689109220023
9|AK09918C|[-23.339996,-49.5,22.859985]|1689109220043
9|AK09918C|[-22.799988,-48.839996,22.73999]|1689109220063
9|AK09918C|[-22.799988,-48.65999,22.37999]|1689109220083
9|AK09918C|[-22.799988,-48.719986,22.319992]|1689109220103
9|AK09918C|[-23.159988,-48.899994,22.439987]|1689109220123
9|AK09918C|[-23.459991,-48.78,22.5]|1689109220143
9|AK09918C|[-23.699997,-48.899994,22.799988]|1689109220163
9|AK09918C|[-23.279999,-48.899994,22.73999]|1689109220183
9|AK09918C|[-22.799988,-48.479996,22.5]|1689109220203
9|AK09918C|[-22.679993,-48.299988,22.5]|1689109220223
9|AK09918C|[-22.439987,-48.299988,22.439987]|1689109220243
