statusId|x|y|z|timestamp
2|1.2138603|7.48188|7.1945763|1688144447603
2|1.0319009|7.4148426|7.1227503|1688144447606
2|0.92895025|7.3645644|7.0820484|1688144447608
2|0.7086837|7.2472486|6.9958572|1688144447610
2|0.50038815|7.16824|6.885724|1688144447612
2|0.40701428|7.1371155|6.8282633|1688144447614
2|0.21547815|7.1131735|6.7229185|1688144447616
2|0.110133275|7.153875|6.682217|1688144447618
2|0.1436521|7.2472486|6.8689647|1688144447620
2|0.2873042|7.417237|7.345411|1688144447622
2|0.29448682|7.4244194|7.726089|1688144447624
2|0.21547815|7.369353|7.8146744|1688144447626
2|-0.06703765|7.2089415|7.735666|1688144447628
2|-0.39983168|7.120356|7.4004774|1688144447630
2|-0.5626374|6.9264255|7.2185183|1688144447632
2|-0.82599956|6.7923503|6.921637|1688144447634
2|-0.8643068|6.7827735|6.825869|1688144447636
2|-0.770933|6.8545995|6.667852|1688144447638
2|-0.49799395|7.007828|6.4667387|1688144447640
2|-0.32561144|7.1083846|6.339846|1688144447642
2|0.04070143|7.302315|6.0836663|1688144447644
2|0.33758244|7.4627266|5.920861|1688144447645
2|0.4285621|7.501034|5.8801594|1688144447648
2|0.50038815|7.551312|5.901707|1688144447649
2|0.51714754|7.52737|6.019023|1688144447652
2|0.51235914|7.5106106|6.0501475|1688144447653
2|0.4381389|7.433996|6.0597243|1688144447655
2|0.29688102|7.350199|5.985504|1688144447658
2|0.23463176|7.321469|5.9280434|1688144447660
2|0.08379706|7.275979|5.770026|1688144447662
2|0.009576807|7.2568254|5.681441|1688144447664
2|-0.14604631|7.249643|5.485116|1688144447665
2|-0.23942018|7.228095|5.3438582|1688144447668
2|-0.2753332|7.2113357|5.2983685|1688144447669
2|-0.2825158|7.177817|5.1786585|1688144447671
2|-0.18435353|7.1466923|5.068525|1688144447673
2|-0.08379706|7.156269|5.032612|1688144447675
2|0.19871874|7.299921|5.0278234|1688144447678
2|0.4285621|7.565677|5.068525|1688144447679
2|0.4237737|7.704541|5.104438|1688144447681
2|0.076614454|7.785944|5.2480903|1688144447683
2|-0.20829555|7.6829934|5.351041|1688144447685
2|-0.7038953|7.192182|5.5521536|1688144447687
2|-0.47884035|6.742072|5.8346696|1688144447689
2|-0.021547815|6.7324953|5.9663506|1688144447691
2|0.91937345|7.297527|6.1650696|1688144447693
2|0.5506664|7.9990277|6.2129536|1688144447695
2|-0.21068975|8.034941|6.289568|1688144447696
2|-1.5634137|7.2664022|6.588843|1688144447699
2|-0.6344634|6.6654577|6.9527617|1688144447701
2|0.33279404|6.8641763|7.074866|1688144447703
2|1.067814|7.7667904|7.1490865|1688144447705
2|-0.34715924|8.02297|7.1826053|1688144447707
2|-1.1923125|7.704541|7.2783732|1688144447708
2|-1.460463|6.8186865|7.5345526|1688144447711
2|-0.038307227|6.754043|7.699753|1688144447712
2|0.5410896|7.0964136|7.6734166|1688144447715
2|0.25139117|7.759608|7.477092|1688144447716
2|-1.2186487|7.7931266|7.419631|1688144447719
2|-1.7022774|7.2185183|7.4363904|1688144447721
2|-1.3670892|6.5816603|7.477092|1688144447723
2|-0.059855044|6.5720835|7.445967|1688144447725
2|0.34476504|7.1849995|7.216124|1688144447726
2|-0.02873042|7.821857|6.9264255|1688144447729
2|-0.62488663|7.881712|6.8450227|1688144447730
2|-1.6089035|7.4387846|6.799533|1688144447732
2|-1.388637|6.861782|6.823475|1688144447735
2|-0.8571242|6.7971387|6.8067155|1688144447736
2|0.16519992|7.1969705|6.694188|1688144447738
2|0.22505496|7.824251|6.5936313|1688144447740
2|-0.11252748|7.991845|6.5960255|1688144447742
2|-0.92176765|7.821857|6.6391215|1688144447744
2|-1.1899183|7.5465236|6.691794|1688144447746
2|-1.0055647|6.993463|6.7109475|1688144447748
2|-0.2825158|6.8905125|6.6726403|1688144447750
2|0.047884032|7.0485296|6.619968|1688144447752
2|0.20350714|7.5225816|6.481104|1688144447754
2|-0.3184288|7.776367|6.337452|1688144447756
2|-0.6799533|7.7189064|6.291962|1688144447758
2|-1.1803415|7.3190746|6.229713|1688144447760
2|-1.1085154|6.8641763|6.169858|1688144447762
2|-0.85473|6.7492547|6.143522|1688144447764
2|-0.18435353|6.873753|6.114791|1688144447766
2|0.23702596|7.302315|6.009446|1688144447768
2|0.25857377|7.5321584|5.9639564|1688144447770
2|-0.016759412|7.7811556|5.899313|1688144447772
2|-0.46686932|7.644686|5.889736|1688144447774
2|-0.6536171|7.4723034|5.935226|1688144447776
2|-0.79248077|7.074866|6.078878|1688144447778
2|-0.5770026|6.823475|6.2584434|1688144447780
2|-0.40222588|6.8186865|6.3326635|1688144447782
2|-0.05267244|7.017405|6.471527|1688144447784
2|0.05267244|7.314286|6.5577183|1688144447786
2|0.007182605|7.433996|6.5984197|1688144447789
2|-0.18914193|7.5465236|6.6846113|1688144447790
2|-0.46447513|7.443573|6.7468605|1688144447792
2|-0.56982|7.33344|6.7803793|1688144447794
2|-0.6488287|7.091625|6.871359|1688144447796
2|-0.50996494|6.955156|6.9120603|1688144447798
2|-0.39504328|6.9503675|6.9360023|1688144447800
2|-0.11731588|7.07726|6.931214|1688144447802
2|0.110133275|7.299921|6.8641763|1688144447804
2|0.16280572|7.4148426|6.8330517|1688144447805
