statusId|x|y|z|timestamp
3|-3.6399295|-0.74020284|3.8920538|1689192587269
3|-3.6878393|-0.72103906|4.088483|1689192587272
3|-3.7549126|-0.72583|4.328031|1689192587275
3|-3.7692854|-0.73541194|4.5484147|1689192587277
3|-3.7549126|-0.74978477|4.749635|1689192587279
3|-3.7501216|-0.77853054|4.9269004|1689192587282
3|-3.726167|-0.8264401|5.0466743|1689192587284
3|-3.707003|-0.86476773|5.1568666|1689192587287
3|-3.6543026|-0.9174683|5.2718496|1689192587289
3|-3.611184|-0.97975075|5.3820415|1689192587291
3|-3.5728562|-1.0420332|5.5113974|1689192587294
3|-3.5489016|-1.1043156|5.645544|1689192587297
3|-3.5009918|-1.1665981|5.798855|1689192587300
3|-3.4435005|-1.2432534|5.9186287|1689192587302
3|-3.3955908|-1.3103268|6.0479846|1689192587304
3|-3.3333085|-1.3486544|6.1917133|1689192587307
3|-3.2662349|-1.391773|6.311487|1689192587309
3|-3.2135344|-1.4157279|6.4504247|1689192587312
3|-3.1608338|-1.4301007|6.584572|1689192587314
3|-3.0937605|-1.4444735|6.7187185|1689192587317
3|-3.050642|-1.4684284|6.8384924|1689192587319
3|-3.0123143|-1.4828012|6.982221|1689192587321
3|-2.9500318|-1.511547|7.121159|1689192587325
3|-2.911704|-1.5498747|7.255306|1689192587327
3|-2.9021223|-1.5834113|7.418198|1689192587330
3|-2.8973312|-1.6265299|7.571509|1689192587332
3|-2.911704|-1.6600666|7.7296104|1689192587334
3|-2.9500318|-1.6696485|7.911667|1689192587337
3|-2.9500318|-1.6888124|8.117678|1689192587339
3|-2.9069133|-1.7031852|8.290153|1689192587342
3|-2.8494217|-1.736722|8.414718|1689192587344
3|-2.8015122|-1.7463039|8.563237|1689192587347
3|-2.7823484|-1.736722|8.716548|1689192587349
3|-2.7583935|-1.722349|8.826739|1689192587351
3|-2.7727664|-1.722349|8.893813|1689192587355
3|-2.7919302|-1.6840215|9.023169|1689192587357
3|-2.815885|-1.6504847|9.243553|1689192587360
3|-2.8733766|-1.5690384|9.531011|1689192587362
3|-2.916495|-1.4588464|9.890332|1689192587364
3|-2.9500318|-1.3438635|10.302355|1689192587367
3|-3.0027323|-1.2240895|10.695212|1689192587369
3|-3.0075233|-1.1043156|11.092862|1689192587372
3|-2.9835684|-0.9941236|11.480929|1689192587374
3|-2.9596138|-0.8839316|11.811506|1689192587376
3|-2.94045|-0.78811246|12.122918|1689192587379
3|-2.916495|-0.71145713|12.348093|1689192587382
3|-2.916495|-0.6491747|12.515777|1689192587385
3|-2.945241|-0.6060561|12.645132|1689192587387
3|-3.0027323|-0.5389827|12.750533|1689192587389
3|-3.0841787|-0.4910731|12.855934|1689192587392
3|-3.1991615|-0.45274544|12.927799|1689192587394
3|-3.3428903|-0.40004492|13.018827|1689192587397
3|-3.5153646|-0.3329715|13.1242285|1689192587399
3|-3.711794|-0.27068907|13.215257|1689192587401
3|-3.8938503|-0.19882472|13.320658|1689192587404
3|-4.1094437|-0.12696037|13.445222|1689192587407
3|-4.3106637|-0.040723134|13.598533|1689192587410
3|-4.507093|0.03593218|13.790171|1689192587412
3|-4.698731|0.10300558|13.9339|1689192587414
3|-4.847251|0.17007898|14.053674|1689192587417
3|-4.976607|0.18445185|14.13512|1689192587419
3|-5.058053|0.17007898|14.168656|1689192587422
3|-5.139499|0.13175131|14.154284|1689192587424
3|-5.1969905|0.07425983|14.139911|1689192587427
3|-5.211364|0.011977393|14.139911|1689192587429
3|-5.1586633|-0.079050794|14.139911|1689192587431
3|-5.0867987|-0.18924281|14.125538|1689192587435
3|-4.928697|-0.31859866|14.130329|1689192587437
3|-4.74185|-0.47670022|14.130329|1689192587440
3|-4.5262566|-0.6635476|14.197402|1689192587442
3|-4.257963|-0.83123106|14.298013|1689192587444
3|-3.956133|-1.0420332|14.403414|1689192587447
3|-3.6495116|-1.2528353|14.523188|1689192587449
3|-3.275817|-1.4828012|14.619007|1689192587452
3|-2.911704|-1.731931|14.681289|1689192587454
3|-2.5044727|-2.0145974|14.743571|1689192587456
3|-2.1020324|-2.2972639|14.791481|1689192587459
3|-1.7570835|-2.5703485|14.848972|1689192587462
3|-1.4312984|-2.82906|14.916046|1689192587465
3|-1.1246772|-3.0302804|15.016656|1689192587467
3|-0.8659655|-3.2075458|15.179548|1689192587469
3|-0.67911816|-3.3464835|15.371187|1689192587472
3|-0.5305985|-3.4566755|15.510125|1689192587474
3|-0.47789797|-3.52854|15.605944|1689192587477
3|-0.47789797|-3.5860314|15.668226|1689192587479
3|-0.55934423|-3.609986|15.610735|1689192587482
3|-0.698282|-3.619568|15.558034|1689192587484
3|-0.91387504|-3.6483138|15.43347|1689192587486
3|-1.2204963|-3.7010143|15.299322|1689192587490
3|-1.6037729|-3.7920425|15.102893|1689192587492
3|-2.0110042|-3.8878617|14.882509|1689192587495
3|-2.4421904|-4.0220084|14.604633|1689192587497
3|-2.8637946|-4.1465735|14.307594|1689192587499
3|-3.275817|-4.261556|14.010555|1689192587502
3|-3.6638844|-4.3477936|13.703934|1689192587504
3|-4.023206|-4.405285|13.4212675|1689192587507
3|-4.39211|-4.4531946|13.162556|1689192587509
3|-4.698731|-4.496313|12.970918|1689192587511
3|-4.9861884|-4.515477|12.822398|1689192587515
3|-5.2449|-4.520268|12.73137|1689192587517
3|-5.4652843|-4.5490136|12.649923|1689192587520
